AuthorID,Createdtime,TweetID,Likes,Retweets,Description
558797310,2021-09-10T08:04:00.000Z,1436239017050181639,2509,226, It s always exciting when you have new faces in the team. DalotDiogo is relishing training with our new additions in this week s TeamViewer Diaries... MUFC BringingYouCloser 
558797310,2021-09-10T06:52:00.000Z,1436220897187205121,13263,1540, Six fixtures across three competitions await... MUFC
558797310,2021-09-10T03:33:00.000Z,1436170817189130241,9852,510,Who are you backing to find the net first on Saturday 3 6 of you correctly predicted MasonGreenwood would break the deadlock against Wolves... MUFC MUNNEW
558797310,2021-09-10T00:19:00.000Z,1436121995637362692,12529,684,A slight change to our September schedule MUFC MUNAVL
558797310,2021-09-09T20:30:00.000Z,1436064366802132996,41127,4196, WesBrown24 was on hand to welcome Cristiano back to Old Trafford watch our special interview in full now MUFC RonaldoReturns
558797310,2021-09-09T19:35:00.000Z,1436050524768460803,106730,11993,A simply mood Cristiano MUFC RonaldoReturns 
558797310,2021-09-09T19:30:00.000Z,1436049266812735515,183601,21957,Signed Sealed Cristiano MUFC RonaldoReturns 
558797310,2021-09-09T17:55:00.000Z,1436025358587863059,20777,1737, MatchRewind is back Head to our website or app now to relive our 6 0 win over Newcastle which included a hat trick from a certain someone MUFC
558797310,2021-09-09T17:05:34.000Z,1436012918030675975,153972,21834,Goosebumps. MUFC Cristiano 
558797310,2021-09-09T16:00:49.000Z,1435996625865003020,369485,76998,He s . Cristiano MUFC HereWeBelong 
